"departure","arrival","departure_y","departure_x","arrival_y","arrival_x","departure_in_DHZW","arrival_in_DHZW","time_total","time_walk","time_transit_bus","time_transit_train","time_waiting","n_changes","distance_total","distance_walk","distance_bus","distance_train","stop_PC6"
"2531X","3087",52.0564879845059,4.29763546300736,51.89189,4.450622,1,0,97,33.9,30.5,18,14.5,3,36.1,2.1,11.2,22.8,"2531AN"
"3087","2531X",51.89189,4.450622,52.0564879845059,4.29763546300736,0,1,93.1,49.5,16.5,17,10.1,2,27.7,3.3,7.9,16.5,"2532CP"
"2531S","2514",52.0566910715675,4.30682838231389,52.08523,4.308987,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2514","2531S",52.08523,4.308987,52.0566910715675,4.30682838231389,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2531C","3522",52.0558279026928,4.29833090580325,52.0728,5.114623,1,0,96.2,28.4,19.1,37,11.8,3,67.8,2,5.5,60.3,"2531AN"
"3522","2531C",52.0728,5.114623,52.0558279026928,4.29833090580325,0,1,98.3,30.2,8,46,14.1,2,68.4,2.1,2.3,64,"2532CP"
"2531C","2288",52.0558279026928,4.29833090580325,52.03277,4.337166,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2288","2531C",52.03277,4.337166,52.0558279026928,4.29833090580325,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"1066","2531V",52.34028,4.817704,52.0548564711263,4.30164930928224,0,1,87.6,24.2,23.2,30,10.2,2,55.4,1.7,11.2,42.5,"2531AV"
"2531A","3087",52.0572754569254,4.29968548273034,51.89189,4.450622,1,0,86.7,35,20.4,21,10.2,2,34.2,2.2,11.4,20.7,"2532CP"
"3087","2531A",51.89189,4.450622,52.0572754569254,4.29968548273034,0,1,90.2,46.5,16.5,17,10.1,2,27.5,3.1,7.9,16.5,"2532CP"
"2531X","2524",52.0564879845059,4.29763546300736,52.05296,4.313358,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
