"departure","arrival","departure_y","departure_x","arrival_y","arrival_x","departure_in_DHZW","arrival_in_DHZW"
"2546A","2624",52.0577480548941,4.27572687830032,51.9951639454664,4.35577193846277,1,0
"2616","2546A",52.0198745770101,4.37823030636127,52.0577480548941,4.27572687830032,0,1
"2546A","2275",52.0577480548941,4.27572687830032,52.0628271752404,4.35271576940429,1,0
"2275","2545G",52.0628271752404,4.35271576940429,52.0492425239982,4.27529335026369,0,1
"2546A","2562",52.0577480548941,4.27572687830032,52.0747265798835,4.28192580723319,1,0
"2546E","3072",52.0580559213753,4.27115759168931,51.902110213157,4.48910082781826,1,0
"2546E","2511",52.0580559213753,4.27115759168931,52.0785132585966,4.31753919740833,1,0
"2546V","2552",52.0596909931168,4.27556636437299,52.0545866758473,4.2477894574147,1,0
"2546V","2511",52.0596909931168,4.27556636437299,52.0785132585966,4.31753919740833,1,0
"2546V","2563",52.0596909931168,4.27556636437299,52.0726961183115,4.27055559115989,1,0
"2546A","2547",52.0577480548941,4.27572687830032,52.0609273355566,4.26676183185173,1,0
"2546A","3072",52.0577480548941,4.27572687830032,51.902110213157,4.48910082781826,1,0
"2546A","2518",52.0577480548941,4.27572687830032,52.0811391704393,4.29422163398023,1,0
"2546A","2584",52.0577480548941,4.27572687830032,52.1025819138378,4.2792955317052,1,0
"2545A","2563",52.0530226817073,4.26308177456596,52.0726961183115,4.27055559115989,1,0
"2545A","2681",52.0530226817073,4.26308177456596,52.0315882057369,4.1854653999259,1,0
"2546S","2514",52.0578707378872,4.27105525072026,52.0852307270459,4.30898661979684,1,0
"2547","2546S",52.0609273355566,4.26676183185173,52.0578707378872,4.27105525072026,0,1
"2546S","2564",52.0578707378872,4.27105525072026,52.0681123354441,4.25800296323022,1,0
"2546E","2521",52.0580559213753,4.27115759168931,52.0632798215765,4.31842696216324,1,0
"2546E","2564",52.0580559213753,4.27115759168931,52.0681123354441,4.25800296323022,1,0
"2571","2546E",52.069368236282,4.28691784001684,52.0580559213753,4.27115759168931,0,1
"2546E","2547",52.0580559213753,4.27115759168931,52.0609273355566,4.26676183185173,1,0
"2546B","2516",52.0591161365999,4.27399671521609,52.067825882664,4.33840078455919,1,0
"2546B","2521",52.0591161365999,4.27399671521609,52.0632798215765,4.31842696216324,1,0
"2546B","2552",52.0591161365999,4.27399671521609,52.0545866758473,4.2477894574147,1,0
"2546V","2547",52.0596909931168,4.27556636437299,52.0609273355566,4.26676183185173,1,0
"2546V","2616",52.0596909931168,4.27556636437299,52.0198745770101,4.37823030636127,1,0
"2546V","2571",52.0596909931168,4.27556636437299,52.069368236282,4.28691784001684,1,0
"2545C","1012",52.0564072356305,4.26594900581208,52.3745419294806,4.89602329086313,1,0
"2545C","2628",52.0564072356305,4.26594900581208,52.0016877358709,4.37567931349905,1,0
"2545E","2572",52.0538899879879,4.26506166395777,52.0644318387081,4.29356013529868,1,0
"2514","2545E",52.0852307270459,4.30898661979684,52.0538899879879,4.26506166395777,0,1
"2546X","2552",52.0607363175907,4.27761287481445,52.0545866758473,4.2477894574147,1,0
"2546X","2584",52.0607363175907,4.27761287481445,52.1025819138378,4.2792955317052,1,0
"2546X","2562",52.0607363175907,4.27761287481445,52.0747265798835,4.28192580723319,1,0
"2546A","2521",52.0577480548941,4.27572687830032,52.0632798215765,4.31842696216324,1,0
"2546E","2595",52.0580559213753,4.27115759168931,52.0808715256637,4.33453210497774,1,0
"2546E","2624",52.0580559213753,4.27115759168931,51.9951639454664,4.35577193846277,1,0
"2546R","2525",52.0570615813484,4.26887575509814,52.0623766403396,4.3033052949289,1,0
"2546R","2584",52.0570615813484,4.26887575509814,52.1025819138378,4.2792955317052,1,0
"2546V","2566",52.0596909931168,4.27556636437299,52.0807850576839,4.25230755076599,1,0
