"departure","arrival","departure_longitude","departure_latitude","arrival_longitude","arrival_latitude"
"2651","2544E",4.470929,52.00237,4.250288,52.04648
"2544E","2544G",4.250288,52.04648,4.259543,52.04253
"2544G","2544E",4.259543,52.04253,4.250288,52.04648
"2544E","5171",4.250288,52.04648,5.047381,51.65595
"5171","2544E",5.047381,51.65595,4.250288,52.04648
"2544E","2543R",4.250288,52.04648,4.266393,52.04289
"2543R","2544E",4.266393,52.04289,4.250288,52.04648
"2544E","3061",4.250288,52.04648,4.504965,51.92704
"3061","2544E",4.504965,51.92704,4.250288,52.04648
"2544E","2517",4.250288,52.04648,4.285609,52.08726
"2517","2544E",4.285609,52.08726,4.250288,52.04648
"2544E","2573",4.250288,52.04648,4.284134,52.06537
"2573","2544E",4.284134,52.06537,4.250288,52.04648
"2543B","2552",4.261462,52.04082,4.247789,52.05459
"2544E","2532C",4.250288,52.04648,4.30393289541937,52.0527610273044
"2532C","2544E",4.30393289541937,52.0527610273044,4.250288,52.04648
"2544E","2545H",4.250288,52.04648,4.282732,52.04369
"2545H","2544E",4.282732,52.04369,4.250288,52.04648
"2544E","2382",4.250288,52.04648,4.522523,52.12776
"2382","2544E",4.522523,52.12776,4.250288,52.04648
"2382","2543B",4.522523,52.12776,4.261462,52.04082
"2543B","2382",4.261462,52.04082,4.522523,52.12776
"2544E","2564",4.250288,52.04648,4.258003,52.06811
"2544E","2628",4.250288,52.04648,4.375679,52.00169
"2628","2544E",4.375679,52.00169,4.250288,52.04648
"2544E","2542J",4.250288,52.04648,4.25810585894184,52.0385334972944
"2542J","2544E",4.25810585894184,52.0385334972944,4.250288,52.04648
"2544E","2544M",4.250288,52.04648,4.251294,52.03961
"2544M","2544E",4.251294,52.03961,4.250288,52.04648
"2544E","2681",4.250288,52.04648,4.185465,52.03159
"2681","2544E",4.185465,52.03159,4.250288,52.04648
"2544E","2284",4.250288,52.04648,4.313038,52.04115
"2284","2544E",4.313038,52.04115,4.250288,52.04648
"2291","2543A",4.277017,52.01948,4.264118,52.04346
"2544E","2713",4.250288,52.04648,4.484199,52.05438
"2713","2544E",4.484199,52.05438,4.250288,52.04648
"2544E","2532R",4.250288,52.04648,4.2950248696903,52.0484979847576
"2532R","2544E",4.2950248696903,52.0484979847576,4.250288,52.04648
"2544E","2597",4.250288,52.04648,4.313337,52.10758
"2597","2543A",4.313337,52.10758,4.264118,52.04346
"2291","2548",4.277017,52.01948,4.290399,52.02944
"2548","2291",4.290399,52.02944,4.277017,52.01948
"2544E","2671",4.250288,52.04648,4.208966,51.99332
"2671","2544E",4.208966,51.99332,4.250288,52.04648
"2544E","2512",4.250288,52.04648,4.304762,52.07346
"2512","2544E",4.304762,52.07346,4.250288,52.04648
"2628","2543B",4.375679,52.00169,4.261462,52.04082
"2544E","2525",4.250288,52.04648,4.303305,52.06238
