"departure","arrival","departure_longitude","departure_latitude","arrival_longitude","arrival_latitude"
"2518","2546A","4.275727","4.294222","52.05775","52.08114"
"2518","2545G","4.275293","4.294222","52.04924","52.08114"
"2511","2546A","4.275727","4.317539","52.05775","52.07851"
"2511","2511","4.317539","4.317539","52.07851","52.07851"
"2546A","2547","4.266762","4.275727","52.05775","52.06093"
"2546E","2555","4.225491","4.271158","52.05806","52.06100"
"2518","2546E","4.271158","4.294222","52.05806","52.08114"
"2546V","2566","4.252308","4.275566","52.05969","52.08079"
"2546V","2562","4.275566","4.281926","52.05969","52.07473"
"2546V","2547","4.266762","4.275566","52.05969","52.06093"
"2543B","2546V","4.261462","4.275566","52.04082","52.05969"
"2533S","2545C","4.265949","4.286450","52.05539","52.05641"
"2545C","2545C","4.265949","4.265949","52.05641","52.05641"
"2545C","2547","4.265949","4.266762","52.05641","52.06093"
"2546A","2564","4.258003","4.275727","52.05775","52.06811"
"2546A","2546S","4.271055","4.275727","52.05775","52.05787"
"2533J","2546A","4.275727","4.293881","52.05090","52.05775"
"2543B","2546A","4.261462","4.275727","52.04082","52.05775"
"2511","2571","4.286918","4.317539","52.06937","52.07851"
"2546A","2571","4.275727","4.286918","52.05775","52.06937"
"2545A","2545J","4.263082","4.273905","52.05018","52.05302"
"2533B","2545A","4.263082","4.284102","52.04869","52.05302"
"2533H","2547","4.266762","4.290701","52.04870","52.06093"
"2533H","2546S","4.271055","4.290701","52.04870","52.05787"
"2533S","2546S","4.271055","4.286450","52.05539","52.05787"
"2544G","2546S","4.259543","4.271055","52.04253","52.05787"
"2546S","2562","4.271055","4.281926","52.05787","52.07473"
"2545H","2546E","4.271158","4.282732","52.04369","52.05806"
"2546E","2546X","4.271158","4.277613","52.05806","52.06074"
"2546X","2547","4.266762","4.277613","52.06074","52.06093"
"2546E","2547","4.266762","4.271158","52.05806","52.06093"
"2546E","2554","4.219691","4.271158","52.05806","52.06499"
"2545G","2546E","4.271158","4.275293","52.04924","52.05806"
"2546B","2565","4.258572","4.273997","52.05912","52.07543"
"2546B","2552","4.247789","4.273997","52.05459","52.05912"
"2543B","2546B","4.261462","4.273997","52.04082","52.05912"
"2546B","2546S","4.271055","4.273997","52.05787","52.05912"
"2533H","2546V","4.275566","4.290701","52.04870","52.05969"
"2545G","2546V","4.275293","4.275566","52.04924","52.05969"
"2511","2546V","4.275566","4.317539","52.05969","52.07851"
"2492","2545C","4.265949","4.409169","52.05641","52.06619"
"2545C","2565","4.258572","4.265949","52.05641","52.07543"
"2545E","2566","4.252308","4.265062","52.05389","52.08079"
"1118","2566","4.252308","4.760595","52.08079","52.30665"
"1118","2545E","4.265062","4.760595","52.05389","52.30665"
"1118","2492","4.409169","4.760595","52.06619","52.30665"
"2545E","2545G","4.265062","4.275293","52.04924","52.05389"
"2545G","2546X","4.275293","4.277613","52.04924","52.06074"
"2542E","2546A","4.267380","4.275727","52.03587","52.05775"
"2521","2542E","4.267380","4.318427","52.03587","52.06328"
"2546E","3012","4.271158","4.476193","51.91861","52.05806"
"2546E","2564","4.258003","4.271158","52.05806","52.06811"
"2544J","2546E","4.258303","4.271158","52.04502","52.05806"
"2533J","2546E","4.271158","4.293881","52.05090","52.05806"
"2546R","2552","4.247789","4.268876","52.05459","52.05706"
"2546R","2547","4.266762","4.268876","52.05706","52.06093"
"2511","2546R","4.268876","4.317539","52.05706","52.07851"
"2546V","2554","4.219691","4.275566","52.05969","52.06499"
"2554","2616","4.219691","4.378230","52.01987","52.06499"
"2546V","2616","4.275566","4.378230","52.01987","52.05969"
"2512","2546V","4.275566","4.304762","52.05969","52.07346"
"2512","2722","4.304762","4.513164","52.05349","52.07346"
"2545H","2546V","4.275566","4.282732","52.04369","52.05969"
"2546V","2552","4.247789","4.275566","52.05459","52.05969"
"2545C","3521","4.265949","5.109406","52.05641","52.08331"
"2545C","3511","4.265949","5.115988","52.05641","52.08832"
"2544J","2545C","4.258303","4.265949","52.04502","52.05641"
"2545C","2545G","4.265949","4.275293","52.04924","52.05641"
"2515","2545E","4.265062","4.321192","52.05389","52.07270"
"2545E","2627","4.265062","4.371840","51.98532","52.05389"
"2545E","2552","4.247789","4.265062","52.05389","52.05459"
"2545E","2717","4.265062","4.474270","52.05389","52.07464"
"2545C","2555","4.225491","4.265949","52.05641","52.06100"
"2545C","2545H","4.265949","4.282732","52.04369","52.05641"
"2545C","2718","4.265949","4.497608","52.03901","52.05641"
"2533S","2545H","4.282732","4.286450","52.04369","52.05539"
"2545E","2546X","4.265062","4.277613","52.05389","52.06074"
"2517","2545E","4.265062","4.285609","52.05389","52.08726"
"2517","2546X","4.277613","4.285609","52.06074","52.08726"
"2517","2545G","4.275293","4.285609","52.04924","52.08726"
"2545E","2547","4.265062","4.266762","52.05389","52.06093"
"2518","2546C","4.273469","4.294222","52.05666","52.08114"
"2546C","2552","4.247789","4.273469","52.05459","52.05666"
"2545A","2546C","4.263082","4.273469","52.05302","52.05666"
"2546C","2562","4.273469","4.281926","52.05666","52.07473"
"2542J","2546C","4.258106","4.273469","52.03853","52.05666"
"2546C","2547","4.266762","4.273469","52.05666","52.06093"
"2546C","2554","4.219691","4.273469","52.05666","52.06499"
"2545G","2546R","4.268876","4.275293","52.04924","52.05706"
"2518","2546R","4.268876","4.294222","52.05706","52.08114"
"2516","2546R","4.268876","4.338401","52.05706","52.06783"
"2545A","2546S","4.263082","4.271055","52.05302","52.05787"
"2518","2546B","4.273997","4.294222","52.05912","52.08114"
"2546B","2562","4.273997","4.281926","52.05912","52.07473"
"2546B","2573","4.273997","4.284134","52.05912","52.06537"
"2521","2546B","4.273997","4.318427","52.05912","52.06328"
"2516","2546V","4.275566","4.338401","52.05969","52.06783"
"2542T","2546B","4.272844","4.273997","52.03875","52.05912"
"2514","2546T","4.276004","4.308987","52.05926","52.08523"
"2546T","2565","4.258572","4.276004","52.05926","52.07543"
"2565","2571","4.258572","4.286918","52.06937","52.07543"
"2546T","2571","4.276004","4.286918","52.05926","52.06937"
"2545G","2546T","4.275293","4.276004","52.04924","52.05926"
"2521","2546S","4.271055","4.318427","52.05787","52.06328"
"2521","2552","4.247789","4.318427","52.05459","52.06328"
"2546S","2552","4.247789","4.271055","52.05459","52.05787"
"2545J","2546S","4.271055","4.273905","52.05018","52.05787"
"2545G","2546S","4.271055","4.275293","52.04924","52.05787"
"2546S","3012","4.271055","4.476193","51.91861","52.05787"
"2516","2546T","4.276004","4.338401","52.05926","52.06783"
"2546S","2546T","4.271055","4.276004","52.05787","52.05926"
"1171","2546A","4.275727","4.775848","52.05775","52.33033"
"2545E","2596","4.265062","4.319509","52.05389","52.09274"
"2533C","2545E","4.265062","4.293283","52.04874","52.05389"
"2546S","2571","4.271055","4.286918","52.05787","52.06937"
"2545C","2545N","4.265949","4.278895","52.04789","52.05641"
"2545C","4.265949","52.05641","53.21628","6.569368","9711"
"2515","2545C","4.265949","4.321192","52.05641","52.07270"
"2546E","2565","4.258572","4.271158","52.05806","52.07543"
"2542N","2546E","4.259759","4.271158","52.03313","52.05806"
"2547","2555","4.225491","4.266762","52.06093","52.06100"
"2546E","2546S","4.271055","4.271158","52.05787","52.05806"
"2533J","2546S","4.271055","4.293881","52.05090","52.05787"
"2565","2584","4.258572","4.279296","52.07543","52.10258"
"2546E","2584","4.271158","4.279296","52.05806","52.10258"
"2546X","2552","4.247789","4.277613","52.05459","52.06074"
"2546X","2555","4.225491","4.277613","52.06074","52.06100"
"2545A","2546E","4.263082","4.271158","52.05302","52.05806"
"2517","2545A","4.263082","4.285609","52.05302","52.08726"
"2544G","2545A","4.259543","4.263082","52.04253","52.05302"
"2546S","2563","4.270556","4.271055","52.05787","52.07270"
"2511","2546S","4.271055","4.317539","52.05787","52.07851"
"2544N","2546S","4.244986","4.271055","52.03423","52.05787"
"2544N","2545P","4.244986","4.280035","52.03423","52.04870"
"2545P","2546S","4.271055","4.280035","52.04870","52.05787"
"2546B","2566","4.252308","4.273997","52.05912","52.08079"
"2546B","2546X","4.273997","4.277613","52.05912","52.06074"
"2542E","2546B","4.267380","4.273997","52.03587","52.05912"
"2533C","2546B","4.273997","4.293283","52.04874","52.05912"
"2546B","2584","4.273997","4.279296","52.05912","52.10258"
"2546X","2584","4.277613","4.279296","52.06074","52.10258"
"2526","2545E","4.265062","4.307563","52.05389","52.06804"
"2545V","2546V","4.268400","4.275566","52.05004","52.05969"
"2542N","2546V","4.259759","4.275566","52.03313","52.05969"
"2546V","2555","4.225491","4.275566","52.05969","52.06100"
"2545C","2546V","4.265949","4.275566","52.05641","52.05969"
"2545J","2546E","4.271158","4.273905","52.05018","52.05806"
