"departure","arrival","departure_y","departure_x","arrival_y","arrival_x","travel_time","distance"
"2565","2543B",52.07543,4.258572,52.0408197781465,4.2614617830182,67.2,5.08356
"3521","2544G",52.08331,5.109406,52.0425265562463,4.25954339365026,-1,-1
"3521","2545N",52.08331,5.109406,52.0478918255789,4.27889515568648,-1,-1
"2566","2544G",52.08079,4.252308,52.0425265562463,4.25954339365026,72.1833333333333,5.44488
"2597","2533A",52.10758,4.313337,52.0536330532777,4.27865212084885,106.966666666667,8.04784
"2514","2542J",52.08523,4.308987,52.0385335010829,4.25810585554739,98.4333333333333,7.45195
"2563","2542N",52.0727,4.270556,52.0331301458607,4.25975908904229,75.5,5.67696
"2545H","2718",52.0436878110164,4.28273156391466,52.03901,4.497608,224.1,17.13608
"2565","2545J",52.07543,4.258572,52.0501761443925,4.27390518499308,47.7,3.59255
"2514","2544G",52.08523,4.308987,52.0425265562463,4.25954339365026,90.0166666666667,6.82319
"2533A","2551",52.0536330532777,4.27865212084885,52.05899,4.237327,50.45,3.74818
"3511","2545H",52.08832,5.115988,52.04369,4.282732,-1,-1
"2545J","2616",52.0501761443925,4.27390518499308,52.01987,4.37823,127.783333333333,9.65162
"2573","2545A",52.06537,4.284134,52.0530226817073,4.26308177456596,32.1833333333333,2.42332
"3012","2543A",51.91861,4.476193,52.0434639733693,4.26411809103701,-1,-1
"1119","2545G",52.28216,4.760357,52.04924,4.275293,-1,-1
"3194","2544M",51.87004,4.371524,52.0396112782528,4.25129396965672,-1,-1
"2554","2533J",52.06499,4.219691,52.0509015842924,4.29388139874333,84.25,6.34172
"2595","2533H",52.08087,4.334532,52.0487012158308,4.29070086181086,72.5666666666667,5.31928
"2511","2544G",52.07851,4.317539,52.0425265562463,4.25954339365026,80.8166666666667,6.08571
"1171","2543B",52.33033,4.775848,52.0408197781465,4.2614617830182,-1,-1
"2624","2533S",51.99516,4.355772,52.0553882189754,4.28645029912797,117.133333333333,8.92805
"1012","2543B",52.37454,4.896023,52.0408197781465,4.2614617830182,-1,-1
"2545A","2717",52.05302,4.263082,52.07464,4.47427,232.883333333333,17.94526
"2533H","2571",52.0487012158308,4.29070086181086,52.06937,4.286918,36.3833333333333,2.72434
"2542C","9711",52.0375620253995,4.26942353312512,53.21628,6.569368,-1,-1
"2544J","2547",52.0450156297235,4.25830282422894,52.06093,4.266762,31.8,2.40224
"2909","2545J",51.91413,4.545104,52.05018,4.273905,-1,-1
"2546V","3072",52.05969,4.275566,51.90211,4.489101,-1,-1
"2545V","2548",52.0500362790353,4.26839997997919,52.02944,4.290399,40.55,3.04157
"2542J","2573",52.0385335010829,4.25810585554739,52.06537,4.284134,54.7166666666667,4.13155
"2544J","2511",52.0450156297235,4.25830282422894,52.07851,4.317539,79.6666666666667,6.0225
"2546S","2681",52.05787,4.271055,52.03159,4.185465,93.1666666666667,7.1843
"2718","2545N",52.03901,4.497608,52.04789,4.278895,224.533333333333,17.18473
"2628","2545G",52.00169,4.375679,52.0492425239982,4.27529335026369,136.566666666667,10.29054
"2681","2544J",52.03159,4.185465,52.0450156297235,4.25830282422894,76.05,5.84526
"1012","2545H",52.37454,4.896023,52.0436878110164,4.28273156391466,-1,-1
