"departure","arrival","distance_km"
"3511","2533C",56.5
"2542N","2517",6.3
"2542B","2724",16.8
"2542V","2593",7.5
"2542V","1083",53.6
"2542P","2262",10.3
"2542V","2525",3.8
"2542P","2595",6.8
"2542E","2252",14.1
"2542N","2681",5.1
"2543S","2681",5.6
"2542V","2333",20.1
"2542V","2571",3.9
"2542A","2525",3.3
"2542E","2333",20.1
"2542G","2596",7.4
"2542A","2515",4.9
"2515","2544J",5.3
"2542T","2596",6.8
"2542T","2525",3.4
"2542L","2593",8.1
"2542A","3072",21.4
"2542A","2333",19.6
"2542L","2333",20.7
"2542L","3068",21.5
"2542B","2295",2.7
"2541G","2572",3.2
"2542T","4284",57.1
"2545S","2553",3.5
"2542A","4284",57.2
"2542X","3072",21.5
"2542C","2672",6.2
"2542C","2681",5.8
"2541G","2547",2.3
"2541G","3066",22.7
"2542T","2724",16.4
"2262","2542C",10
"2542X","2678",6.5
"2542A","2517",5.3
"2542T","2333",19.6
"2542W","2548",2
"2542W","2525",4.2
"2542W","2671",5.8
"2541G","1034",60.3
"2542P","4284",57.2
"2542V","2295",2.6
"2542H","1101",55.1
"2594","2541G",7.8
"2542A","2555",3.9
"3511","2541H",57.6
"2542X","2681",5.1
"2542V","2671",6.3
"2541R","2685",4.4
"2542L","4284",57.4
"2542A","2295",3
"2541G","2517",5.4
"2542X","2333",20.7
"2541G","2582",5.9
"2541G","2671",6.6
"2542C","2675",4.3
"2542A","3068",21.2
"2542C","2274",6.9
"2542C","2678",7.1
"2548","2542G",1.7
"2542G","2512",5
"2542V","2713",15
"2542V","2553",3.2
"2542A","2713",14.6
"2542L","2724",17.3
"2542L","2596",7.8
"2681","2542T",6
"2542C","2512",4.7
"2681","2545N",6.6
"2542B","2282",4.9
"2542R","3072",21
"2542R","2252",13.4
"2541G","2909",23.7
"2542B","2595",6.6
"2541G","2491",8.6
"2542B","2517",5.6
"2542H","1083",53.6
"2542C","2333",19.9
"2542L","2517",6.3
"2542H","4284",57.2
"2542H","2596",7.3
"2542B","2252",14
"2542V","2616",7.9
"2541G","2641",11.8
"2542L","2515",6
"2542H","2295",2.4
"2542P","2555",4.1
"2542X","2671",5.7
"2282","2543B",5.2
"2542E","1118",45.2
"2542B","2681",5.6
"2291","2533H",3.4
"2542B","2593",7.4
"2542N","2262",10.9
"2542X","2595",7.3
"2514","2541G",5.7
"2542N","2274",7.7
"2274","2542E",7.1
"2542X","2511",6.4
"2542H","2517",6
"2542H","2525",3.9
"2542J","2719",14.6
"2542X","2571",4.4
"2542H","2595",6.9
"2542V","2252",14.1
"2542C","2593",7.3
"2542C","2595",6.6
"2542P","2291",1.9
"2542G","1101",55.2
"2542G","2593",7.7
"2542V","2517",5.7
"2542G","2252",14.2
"2542R","2724",16.1
"2542B","2262",10.1
"2542B","2554",4.4
"2542P","2713",15
"2542B","2672",6.2
"2548","2545H",1.7
"2542X","2554",4.5
"2542L","2595",7.3
"2542C","2525",3.6
"2542X","3068",21.7
"3068","2546E",22.2
"2594","2545G",6.7
"2542B","2291",2.2
"2295","2544C",3.7
"2544C","2548",3.2
"2542H","2511",5.9
"2542C","2724",16.7
"2542B","2671",6.4
"2542C","2671",6.4
"2675","2533B",5.8
"2542T","2713",14.6
"2713","2546B",14.4
"2542X","2555",3.9
"2542X","2616",8.2
"2542G","2274",7.2
"2542X","2675",3.5
"2542C","2555",4
"2542T","3068",21.1
"2542P","2512",4.9
"2542B","3072",21.5
"2542C","1101",54.8
"2542C","4284",57.2
"2333","2544J",19.8
"2542N","2672",5.4
"2542V","2675",4.1
"2542N","2252",14.7
"2542T","1083",53.1
"2542P","2295",2.4
"2533H","2616",6.8
"2595","2545H",5.4
"2542B","2616",7.9
"2542B","4284",57.4
"2542R","2596",6.7
"2542R","2521",3.9
"2282","2533H",3
"2542E","2295",2.5
"2542H","2724",16.8
"2565","2541R",3.9
"2542V","2678",7
"2533H","2678",8.6
"2541G","2573",3
"2545S","2525",2.7
"2542P","2571",4
"2542L","2671",5.7
"2542B","1118",45.1
"2542N","2671",5.6
"2542N","2678",6.5
"2542B","2555",3.8
"2542V","2681",5.6
"2545N","2291",3.2
"2545S","2521",3.6
"2675","2545H",5.3
"2544N","2572",4.7
"2542E","3068",21.3
"2542T","2678",7.2
"2542E","2554",4.6
"2542J","3066",23.1
"2724","2545H",15.7
"2594","2545A",7
"2542X","2672",5.5
"2542X","2274",7.7
"2542P","2593",7.6
"2545G","1083",52.2
"2542T","2675",4.5
"2542L","1101",55.6
"2724","2546X",15.8
"2542P","2672",6
"2542H","2671",6.1
"2542G","2713",15.1
"2542G","2525",4
"2542W","2553",3
"2545S","2291",3.1
"2724","2543A",16.9
"2551","2533J",4
"2517","2545H",4.9
"1083","2545H",52.2
"2616","2544J",8.7
"2542R","2525",3.2
"2542R","2678",7.3
"2542B","2512",4.7
"2525","2542B",3.7
"2542C","1083",53.3
"2542P","3068",21.3
"2542C","2515",5.3
"2542C","2511",5.6
"2542V","2595",6.8
"2542R","1101",54.3
"2542X","2515",6.1
"2533V","4284",56.7
"2542L","2555",4.1
"2616","2533A",7.8
"2295","2545G",4.1
"2542L","2274",7.6
"2274","2533A",5.4
"2542P","3072",21.2
"2542A","2595",6.2
"2542G","2724",16.9
"2542P","2333",20.1
"2542G","2595",6.9
"2553","2542G",3.3
"2542W","1083",54
"2542B","2678",7.1
"2542V","2672",6
"2542W","2262",10.7
"2542C","2571",3.7
"2548","2533C",2.2
"2542B","2713",15
"2542P","2675",4
"2542V","2274",7.1
"2542L","2672",5.5
"2542G","1118",45.3
"2541G","2282",4.8
"2542H","2282",5
"2685","2533J",5.5
"2541G","2286",3.8
"2681","2533L",7.9
"2542J","2572",3.8
"2545G","2491",7.8
"2542W","2515",5.9
"2515","2545H",4.2
"2533S","2515",3.1
"2675","2533J",6.4
"2542P","2554",4.7
"2542L","2713",15.4
"2542C","1118",45
"2542B","1101",54.9
"1118","2546B",43.2
"2274","2533J",4.6
"2542P","1118",45.2
"2542G","2291",1.9
"2542C","2713",14.8
"2672","2533A",8.1
"2517","2533V",4.1
"2542V","2515",5.5
"2542H","2554",4.7
"2542W","2291",1.9
"2282","2545G",4.1
"2542E","1101",55
"2542B","1083",53.5
"3072","2544L",22
"2545N","2252",12.7
"2542T","2274",6.6
"2542C","2596",7
"2542V","2724",16.9
"2545J","2553",3.6
"2542G","2262",10.4
"2512","2542V",4.8
"2517","2546E",3.4
"2542T","2515",5
"1101","2533J",52.6
"2542B","2333",20
"2544G","2572",3.4
"2542W","2672",5.6
"2685","2541H",4.1
"2282","2533J",2.8
"3066","2544N",23.6
"2521","2533E",2.1
"2542B","2596",7.1
"2542E","2515",5.5
"2542V","2555",3.9
"2542P","2515",5.5
"2542B","3068",21.5
"2594","2541R",7
"2685","2545N",4.5
"2541G","2554",4.2
"2545C","2295",4.8
"2542E","2672",6
"2546B","2492",9.3
"2545G","3068",21.5
"2542W","1101",55.5
"2582","2544N",6.9
"2542B","2675",4.2
"2675","2533C",6.2
"2542G","2511",6
"2542W","2724",17.2
"2542W","4284",57.5
"2542G","2295",2.4
"2713","2545C",14.9
"3068","2545H",20.7
"1083","2545N",52.1
"2542T","2672",6.5
"2542W","2512",5.3
"2542R","2593",6.8
"2542R","2681",6.4
"1083","2533H",51.4
"2672","2546V",8.5
"2542H","2675",3.9
"2542H","2274",7.1
"2274","2545N",5.7
"2542K","1101",55.3
"2554","2545N",4.5
"2542W","2571",4.3
"2542H","3068",21.3
"2517","2533C",4.3
"2542H","2678",6.8
"2542P","1083",53.6
"2724","2543V",17.3
"2533J","2291",3.7
"2542G","1083",53.7
"2541R","2551",3.5
"2541R","2511",4.7
"2546B","2724",16.1
"2542P","2616",7.7
"3511","2533A",57.4
"2541G","2521",4.3
"2542P","2274",7.1
"2533J","2521",2.2
"2542W","2675",3.6
"2672","2533G",8
"2542V","1101",55
"2542G","2517",6
"2533H","2517",4.3
"2542W","2681",5.2
"2542W","2282",5.4
"2675","2543B",4.3
"2542R","1118",44.5
"2274","2533S",4.8
"2274","2543B",7.1
"2713","2533B",13.7
"2542G","2678",6.7
"2546A","2742",24
"2295","2533S",4.9
"2562","2543B",4
"2616","2533E",6.9
"2542W","2555",3.9
"1118","2533C",42.9
"1119","2545J",42.1
"2512","2545J",3.3
"2542W","2252",14.5
"2724","2544L",17.9
"2295","2533B",4.2
"2582","2544M",6.2
"2541G","2564",3.1
"2564","2544N",3.9
"2724","2545N",15.8
"2583","2533H",5.4
"2542G","2681",5.6
"2671","2533J",8.7
"2542W","1118",45.6
"2542W","2521",5.1
"2713","2533L",12.9
"1034","2545G",59.3
"2295","2545H",3.6
"2554","2543V",3.9
"2713","2545N",14.1
"2541H","2641",11.1
"2548","2533A",2.8
"2616","2542H",7.8
"2542W","2678",6.6
"2545N","1118",43.7
"3068","2533A",21.5
"2542J","2685",2.7
"2545N","4284",57.2
"1101","2545H",53.7
"2542V","2554",4.5
"2544G","2719",14.5
"1118","2533L",42.5
"2671","2546A",8.5
"2803","2544L",30.1
"2678","2544G",7.5
"2675","2546B",6.5
"2546E","2515",3.8
"2616","2541R",7.1
"2672","2533S",8.5
"2274","2542K",7.3
"2545C","2724",16.6
"3066","2545G",22.7
"3068","2544H",22.2
"2545N","2742",23.7
"2542C","2554",4.6
"2542G","2554",4.6
"2546E","2282",4.4
"2542W","2593",7.9
"3068","2533B",20.9
"2564","2544M",3.2
"2533G","2548",2.1
"2533G","2685",5.1
"2542H","2713",15
"2515","2533A",3.6
"1101","2546B",53.3
"2544L","2548",2.7
"1083","2533C",51.3
"1118","2533H",43.1
"3068","2545N",21.2
"2533B","2252",12.3
"2543V","2595",6.9
"2595","2544H",6.4
"2672","2533L",8.7
"2545C","2262",9.2
"2542B","2274",7
"2533S","4284",57.1
"2542G","2672",5.9
"2542B","2515",5.4
"2544H","1816",72.5
"2596","2544G",6.9
"2545G","2719",13.4
"2542W","2596",7.6
"2678","2545P",8.4
"2533L","2517",3.9
"2616","2533C",6.6
"2718","2545N",15
"2562","2543A",3.7
"2542G","2671",6.1
"2262","2533B",8.5
"2594","2533A",6.2
"2542R","2548",1.3
"2713","2546T",14.3
"2542W","2333",20.5
"2525","2533C",1.7
"2541G","2555",3.7
"2515","2543A",5.1
"2553","2546E",3.7
"2675","2533S",6.6
"2542H","2571",4.1
"2517","2541R",4.9
"2546A","2282",4.1
"1101","2545J",53.8
"1034","2533C",58.4
"3511","2543A",58.5
"2671","2533S",8.7
"2542J","2491",9.2
"2491","2543B",8.9
"2554","2544L",4
"2542G","2571",4.1
"3068","2543A",21.9
"2711","2543B",16
"2542W","2713",15.4
"2594","2533C",6
"2675","2533A",6.1
"2542R","2291",2.1
"2541G","2283",3.8
"2282","2545C",4.7
"2594","2544J",7.9
"2542W","2517",6.1
"2672","2545C",7.9
"2542J","1951",54.3
"2542R","2553",3.9
"3068","2546A",21.9
"2512","2541H",3.9
"2282","2533A",3.8
"2719","2544N",15.5
"2616","2541H",7.3
"2543B","1083",53.6
"2546B","2681",6.8
"2542W","2511",6.2
"2295","2533J",4.7
"2515","2546V",3.4
"2282","2545A",4.9
"2291","2533A",3.8
"2671","2541H",7.2
"2742","2533L",22.5
"2282","2545N",3.8
"2742","2544J",25.1
"2678","2533B",8.5
"2616","2545H",7.1
"2542H","2515",5.6
"2548","2541H",1.7
"2533V","1101",52.9
"2548","2533E",2.6
"2545C","2252",12.8
"3068","2533V",20.7
"3511","2533J",56.4
"2553","2533J",5
"2596","2533V",5.2
"2553","2545N",3.9
"2546C","2553",3.8
"2544G","1951",53.9
"3066","2541R",22
"2554","2533S",4.7
"2541H","2284",2.4
"2515","2533J",3.1
"2282","2546T",4.1
"2544N","1951",55.2
"1101","2543S",54.9
"2517","2546B",3.2
"2533V","2262",8.1
"3066","2545H",21.9
"3511","2533H",56.6
"2544N","2551",2.8
"2542W","2295",2.3
"2282","2533S",3.3
"2544G","2909",24.2
"2553","2545H",4.2
"2542H","2672",5.9
"2533V","2252",11.9
"2542G","3068",21.3
"2545S","2262",9.3
"2678","2546A",9.3
"2595","2543A",6.4
"2551","2544G",2.4
"2546B","2295",5.1
"2533H","2719",12.4
"2914","2532R",23.8
"2544L","2681",4.6
"2544L","2284",4.2
"2544L","2521",5.5
"2544P","2552",2.8
"2544P","2573",4.6
"2544P","2553",2.6
"2544L","2555",3.4
"2544L","2591",10.1
"2544L","2597",9.1
"2544L","2628",9.3
"2544L","2516",7
"2671","2544L",5.5
"2532C","2573",2
"2544L","3011",20.7
"2544P","2665",19.5
"2542K","2665",18.7
"2544L","2651",15.4
"2544L","2583",6.4
"2544L","2553",2.3
"2544L","3061",21.1
"3316","2544L",39.6
"2544L","2585",7.3
"2544L","2382",21.2
"2544L","2132",42.5
"2544L","2517",6.2
"2544L","2641",12.7
"2544L","1012",58
"2544L","2685",2.2
"2544N","3061",21.5
"2544P","2521",5.9
"2544P","2511",7.1
"2544P","2512",6.1
"2544P","2284",4.4
"2544P","2671",5
"2544L","2652",15.1
"2544N","2591",10.5
"2544L","1043",55.5
"2651","2542J",15.1
"2544P","2713",16.2
"2544L","2514",6.8
"2544P","2597",9.6
"2544P","2525",5.1
"2628","2544P",9.1
"2544P","2585",7.9
"2382","2542N",20.8
"2591","2545G",7.8
"2544L","5171",69.1
"3316","2545H",39
"2544P","2547",3.6
"2544P","2583",7
"2544P","3011",20.4
"2583","2533B",5.2
"2651","2532R",13.1
"2544P","2651",15.4
"2544P","2555",3.9
"2544P","2291",2.1
"5171","2543B",69
"2544P","1012",58.4
"2544P","3316",39.2
"3011","2542K",20.2
"2544P","2517",6.8
"2541H","3066",22.1
"3066","2542K",22.7
"2511","2541H",4.8
"2541H","2719",13.2
"2541R","2548",1.6
"2541R","2681",6.7
"2541S","2671",7.5
"2541S","2685",4.3
"2541J","2565",3.8
"2541J","2551",3.2
"2541J","2284",2.5
"2541E","2284",2.5
"2541E","2565",3.7
"2545H","2742",23.4
"2545B","9711",202.6
"2572","2545B",2.6
"2545B","2627",9.3
"2541R","2491",7.6
"2491","2541H",7.8
"2541S","1951",53.1
"2541S","2548",1.8
"2541S","2641",11.1
"2542R","2571",3.5
"2545B","2571",3
"2541R","3511",57.4
"2541R","2562",3.5
"2541S","2491",7.6
"2541R","1118",44
"2545H","3015",19.4
"2541S","2547",2
"2541S","3511",57.5
"2541S","2719",13.1
"2541P","2548",1.6
"2541P","2719",13.1
"2541T","2551",3.2
"2541S","2284",2.3
"2541S","2562",3.4
"2541S","2565",3.7
"2541C","2547",2
"2545H","2492",9
"2541E","2594",7.1
"2594","2544N",9.3
"2541S","2512",3.7
"2541P","2681",6.6
"2541P","2284",2.2
"2541C","2719",12.9
"2541C","2685",4.7
"2541C","1951",52.8
"2541C","2291",3
"2541T","2491",7.6
"2541T","2616",7.4
"2511","2541T",4.4
"2541E","2514",5.1
"2541E","2719",13.3
"2541C","2512",3.4
"2541C","2551",3.5
"2541E","2491",7.8
"2541T","2562",3.2
"2541T","2291",3
"2541J","2291",2.6
"2541J","2512",3.9
"2541J","2511",4.9
"2541E","2511",4.7
"2541E","1951",53.2
"2541T","3066",22.3
"2541C","2582",5.3
"2541C","2284",2.1
"2541R","2641",10.9
"2541R","2284",2.2
"2541C","2511",4.3
"2511","2545B",4.8
"2541T","2512",3.5
"2542R","2555",4.4
"2542R","2671",6.9
"2541S","2616",7.3
"2541S","2582",5.4
"2541S","2551",3.3
"2541T","2719",13.2
"2541C","2548",1.9
"2541T","2565",3.5
"2541C","2525",2.3
"2541C","2616",7.1
"2541C","2681",6.9
"2541S","2511",4.6
"2541S","2514",5
"2541R","2566",4.6
"2533B","3316",39.3
"2541E","2525",2.7
"2544J","2719",14.6
"2541P","2551",3.4
"2541E","3066",22.3
"2541S","2291",2.8
"2541J","2681",6.3
"2541J","1034",59.7
"2541J","2548",1.8
"2541E","1034",59.6
"2541R","2512",3.8
"2541T","2548",2
"2541E","2512",3.8
"2541R","2525",2.6
"2541T","3511",57.4
"2541R","2583",5.8
"2545H","1119",42.1
"1119","2543B",43.4
"2541E","2685",4.2
"2541E","2572",2.5
"2541E","2671",7.3
"2541E","2548",1.9
"2541S","2282",3.9
"2541T","2525",2.4
"2284","2541T",2.4
"2541P","2511",4.7
"2541P","2291",2.6
"2671","2541C",7.8
"2541E","2547",2
"2541E","1118",44.1
"2541E","2681",6.4
"2545H","9711",202.2
"2541T","2594",6.8
"2541C","2565",3.7
"2541E","2291",2.7
"2541E","2616",7.4
"2545H","1816",72.1
"2541P","1034",59.5
"2541P","3511",57.4
"2541P","2562",3.6
"2541P","3066",22
"2545B","2548",1.9
"2541E","2551",3.2
"2541R","1951",53.2
"2541P","2565",3.9
"2541P","2594",7
"2533B","2613",5.9
"2541E","2641",11.2
"2284","2533V",1.9
"2533V","1034",58.5
"1034","2541H",59.6
"2541C","1118",43.6
"2541P","1951",53.2
"2545B","2515",4.5
"2545B","2625",7.3
"2545B","2593",6.5
"2541P","2512",3.8
"2541R","2547",2.2
"2541R","2572",2.5
"2572","2541H",2.7
"2541S","1034",59.4
"2541C","2583",5.5
"2542R","2713",14.2
"2541H","2521",3.6
"2512","2533L",2.4
"2533B","2282",3.5
"2641","2541C",10.9
"2544J","2551",2.1
"2541E","2582",5.5
"2541C","2572",2.2
"2541C","3066",22
"2541C","1034",59.1
"2542R","1083",52.8
"2541S","2572",2.4
"2541P","1118",44
"2541J","2572",2.7
"2541S","2594",6.9
"3066","2533J",21.8
"2533B","2289",4.6
"2541P","2671",7.4
"2541P","2641",11
"2541E","2283",3.1
"2541J","3066",22.3
"2541C","3511",57.2
"2541C","2594",6.6
"3066","2545J",22.8
"2533V","3066",22
"2533B","2284",2.2
"2289","2533S",4.7
"2533B","3528",54.6
"2545B","2678",7.8
"2291","2541H",2.6
"2541S","2517",4.8
"2541T","2909",23.4
"2542R","2282",4.2
"2541T","2685",4.4
"2541T","2572",2.2
"2541T","2641",11.2
"2545B","2516",5.1
"2541R","2909",23.1
"2541C","5171",68.2
"2544E","2565",3.3
"2541J","2583",5.7
"2541H","1951",53.4
"2541H","2565",3.9
"2541H","2681",6.4
"2541E","3511",57.6
"2545B","2521",3.7
"2541S","2583",5.6
"2541S","3066",22.2
"2616","2545A",8.7
"2545B","2628",8.3
"2541J","2616",7.4
"2545B","2288",4.4
"2542R","2511",5.2
"2542R","4284",56.8
"2542R","2517",5.5
"2541P","2616",7.2
"2541J","2582",5.6
"2533B","1013",55.9
"2541T","1951",52.9
"2541C","2562",3.2
"2533H","1951",52.4
"2512","2533H",2.9
"2594","2541H",7.2
"2541S","2681",6.6
"2541H","2525",2.8
"2545B","2596",6.2
"2541P","2572",2.6
"2541H","1118",44.2
"2541H","2551",3.3
"2541R","2671",7.4
"2541C","2282",3.6
"2542R","2675",4.7
"2545B","1119",42.5
"2545B","2517",4.9
"2541J","2517",5
"2541P","2517",5
"2533B","2681",7
"2542R","2554",5
"2541C","2491",7.3
"2541R","1034",59.4
"2541E","2562",3.4
"2541P","2909",23.1
"2541E","2573",2.4
"2541S","2909",23.3
"2562","2533A",2.4
"2533B","2026",48.6
"2545B","3015",19.8
"2541P","2514",5.1
"2545B","2742",24
"2541C","2514",4.7
"2541H","2547",2.2
"2542R","2512",4.3
"2545H","2512",3.6
"2541T","2282",3.8
"2284","2545H",2.1
"2541T","2583",5.4
"2541E","2909",23.4
"2541J","2547",2.1
"1951","2541J",53.4
"2541E","2583",5.6
"2541P","2491",7.6
"2541E","2517",4.8
"2542R","2595",6.1
"2545B","3171",22.7
"2541T","2555",4
"2541C","2909",23.2
"2541T","2582",5.2
"2681","2541T",6.6
"2541J","2909",23.3
"2545B","2564",2.9
"2545B","2513",4.3
"2541R","2719",13
"2545H","2717",13.6
"2541S","1118",43.9
"2541E","2521",3.5
"2545B","2514",5.2
"2545H","3521",56.7
"2542R","2616",7.2
"1034","2545P",59.1
"2541H","2517",5
"2542R","3068",20.8
"2533B","3171",23
"2543R","3316",39.6
"2545B","2597",7.6
"2491","2544J",9
"2541T","2517",4.6
"2909","2533L",23
"2541P","2573",2.5
"2541P","2525",2.7
"2541R","2514",5.1
"2541J","2685",4.1
"2541P","2685",4.3
"2541R","2282",3.8
"2542R","2262",9.5
"2541J","2671",7.2
"2541J","3511",57.7
"1034","2544J",60.4
"2541P","2547",2.2
"2541J","2641",11.2
"2533H","2641",10.5
"2541J","2525",2.9
"2541R","2573",2.5
"1034","2533H",58.5
"2533B","2491",7.2
"2533B","1018",56
"2545H","1012",55.7
"2545B","2585",5.9
"2545B","1816",72.3
"2545B","2555",3.9
"2541C","2554",4.9
"2554","2544J",3.5
"2541J","2719",13.3
"2533V","2681",7.4
"2541H","5171",68.2
"2545B","2291",2.7
"2533C","9711",201.3
"2541H","2909",23.2
"2545B","2492",9.5
"2541J","2564",3.1
"2564","2543A",2.8
"2541P","2564",3.2
"2545B","2566",4.4
"2542R","2333",19.4
"2541R","2521",3.4
"2545B","2565",3.7
"1034","2544N",61.9
"2541T","2671",7.6
"2909","2533H",23
"2541T","2286",3.5
"2541T","2547",1.8
"1034","2543B",60.6
"3171","2533A",23.6
"2541J","2555",4
"2541J","2491",7.9
"2541C","2283",2.6
"2541C","2517",4.6
"2541S","2525",2.6
"3066","2544G",23.2
"3511","2533L",56.2
"2545G","2551",2.8
"2541H","2514",5.2
"2541J","1118",44.2
"2541R","2553",4.1
"2541E","2282",4
"2282","2544G",5.2
"2542R","2515",4.8
"2541T","5171",68.4
"2541P","2582",5.6
"2541J","2554",4.6
"2541T","1118",43.8
"2541P","2583",5.8
"2541H","2555",4.1
"2545S","4284",57.6
"2542R","2295",3
"3171","2533H",22.8
"2541R","2555",4.3
"2541T","2514",4.8
"2541S","2521",3.4
"2026","2543R",49.8
"2533V","2719",12.5
"2282","2546X",4
"2545N","2284",2.5
"2541J","2514",5.2
"3528","2533J",54
"2541H","2286",3.3
"2542N","2685",2.6
"2541E","2286",3.5
"2541S","2564",3
"2533V","2551",3.7
"3066","2544H",23.3
"2541T","1034",59.3
"2541T","2564",2.8
"2541J","2573",2.6
"2545B","1435",37.8
"1435","2543B",38.7
"2541P","2555",4.3
"2545B","2563",3.2
"2544J","2572",3.2
"2541H","2283",3.1
"2553","2546X",4.2
"2541H","2573",2.6
"2542R","2274",6.3
"1118","2545B",44.2
"1034","2542N",61.3
"3511","2542E",58.4
"2533V","1118",43
"2491","2542E",8.8
"2541J","2594",7.2
"2533E","2511",3.3
"2543A","2711",15.7
"2545B","2512",3.9
"2545B","2711",15
"2562","2533J",2.8
"2582","2533H",5.1
"2511","2533G",3.9
"2533H","2685",5.2
"2544N","2492",11.8
"2533B","2515",3.7
"2545N","2627",9.4
"2541R","2492",9.1
"1012","2545B",56.1
"1101","2533C",52.8
"2533B","2283",2.6
"3511","2544M",59.4
"2544M","2572",4
"2582","2533C",5.1
"2541C","2286",3.3
"2541J","2282",4.1
"2541R","2742",23.6
"2026","2545G",48.9
"1951","2533A",52.2
"2582","2541H",5.7
"2282","2533C",2.9
"2533T","2252",11.8
"2491","2533C",6.6
"2286","2544J",4.6
"2671","2533A",8.2
"3511","2542J",59
"2533J","2594",5.8
"2533H","2284",1.7
"2533C","1951",52.3
"2541E","2555",4
"2541C","2555",4.3
"2565","2545N",3.4
"2545B","2717",14.1
"2545H","2625",7
"2685","2545A",4
"3066","2533L",21.8
"3511","2544H",58.7
"2026","2533S",47.9
"2545B","3521",57.3
"2283","2533S",2.6
"1034","2545H",59.3
"2541P","2521",3.5
"1034","2542J",60.9
"1034","2542E",60.7
"2562","2533H",3
"2565","2544H",3.3
"3528","2543R",55.9
"2545B","3511",57.8
"2541H","2562",3.6
"2541R","2554",4.9
"2533S","2492",8.5
"2026","2533H",48.4
"1034","2533J",58.2
"2685","2533A",4.9
"2533C","2291",3.4
"2562","2545H",3.5
"2545B","2718",15.3
"2282","2544H",5.1
"2553","2546T",4.1
"2541J","5171",68.3
"2541H","2583",5.8
"1013","2533C",55.4
"2545H","2628",7.9
"2553","2545C",3.3
"2594","2545J",6.7
"2616","2533G",6.9
"2541R","2564",3.2
"2551","2544M",2.4
"2594","2544M",8.6
"2541T","2573",2.1
"2541R","2571",3
"2541P","2286",3.2
"2582","2533J",4.9
"2491","2533H",6.8
"2685","2533L",5.8
"2533B","2522",3.2
"2533J","3171",23
"2541J","2562",3.6
"2551","2533H",3.8
"2541P","2282",3.9
"2613","2533J",5.7
"2545B","2681",6.3
"2554","2533V",5.1
"1018","2543R",57.3
"2541R","2286",3.2
"2671","2533C",8.5
"2541C","2521",3.1
"2541S","2283",2.9
"2533V","1951",52.2
"2613","2533C",5.5
"2541S","2554",4.7
"2544N","2491",10.2
"2613","2545H",5.7
"2545B","2285",2
"1034","2545A",59.6
"2541S","5171",68.3
"2284","2543R",3.2
"3066","2544J",23.4
"2672","2542R",6.7
"2491","2542N",9.4
"2641","2533A",11.5
"1034","2544M",61.2
"2541T","2521",3.3
"2616","2545J",7.9
"1101","2546E",53.5
"2613","2533H",5.6
"2541S","2555",4.1
"2491","2533A",7.4
"1118","2545J",43.8
"2491","2544M",9.6
"2541R","2593",6.3
"2541S","2286",3.4
"2541R","2613",5.7
"1951","2544M",54.4
"2541E","2564",3
"2533V","2572",1.6
"2533L","2284",1.7
"2541P","5171",68.1
"2545N","1951",52.8
"2533C","3072",21.1
"2545G","1951",52.8
"2616","2533L",6.7
"3068","2544L",22.3
"2541C","2573",2.1
"2533V","2491",6.8
"2671","2533H",8.3
"2544G","2491",9
"3066","2533H",21.8
"2541J","2286",3.4
"3015","2544L",20.2
"2541P","2283",2.9
"2533J","2284",1.7
"2541R","5171",68.1
"1018","2533C",55.5
"2283","2533J",2
"2562","2533L",2.7
"2533G","1118",43.2
"2545X","2627",10.2
"2544B","2628",9.3
"2545T","2711",15.1
"2511","2545T",4.7
"2545T","2593",6.5
"2545T","9711",202.6
"2544B","2552",1.4
"2544B","2291",3.6
"2545N","1816",71.8
"2545N","2572",2.1
"2545W","2516",5
"2545W","2547",1.1
"2545W","2517",4.2
"2545R","2516",4.9
"2545R","2521",3.5
"2545R","2548",2.3
"2544B","2511",4.6
"2544B","2525",2.8
"2545S","2547",1.5
"2545S","3521",57.4
"2545V","3521",57.7
"2545V","2572",2.4
"2545L","3521",57.3
"2545L","2521",3.5
"2548","2545L",2.3
"2545K","2563",2.7
"2545K","2516",5.1
"2545K","2625",7.8
"2545K","2547",1.5
"2545K","2593",6.4
"2545R","2547",1.6
"2545R","2566",4
"2545R","2597",7.2
"2517","2545R",4.5
"2545R","2511",4.5
"2545S","2742",24.2
"2545S","1816",72
"2545L","2552",2
"2545L","2681",6.4
"2545L","2742",24
"2545L","2511",4.5
"2545X","2285",2.8
"2545X","2548",2.8
"2544B","2382",19.4
"2544A","2525",2.8
"2544A","2291",3.7
"2545V","2512",3.6
"2545T","3015",20.1
"2545T","2547",1.6
"2545T","2571",2.7
"2545T","2513",4.1
"2545T","2516",5.1
"2545T","2515",4.4
"2545J","3511",57.8
"2545R","2555",3.7
"2545R","2492",9.4
"2544B","2593",6.4
"2545R","2514",4.8
"2545L","2517",4.5
"2545L","2547",1.6
"2545W","2548",2.8
"2545W","2513",3.8
"2545W","2593",6.3
"2545W","2571",2.4
"2544B","2132",40.5
"2544B","2553",3.2
"2545W","2521",3.6
"2545J","2548",2.6
"2544A","2516",5.2
"2545X","2552",1.4
"2544B","2521",3.7
"2544B","2671",7.6
"2544B","2584",5.7
"2545R","2515",4.2
"2545W","2711",15.2
"2545W","2514",4.7
"3521","2545R",57.3
"2544B","2652",14.9
"2544B","2284",3.3
"2545K","2513",4
"2545W","2515",4.3
"2544A","2628",9.4
"2545V","1012",56
"2545V","2511",4.6
"2545R","2552",2
"2585","2545R",5.5
"2545V","2681",6
