"departure","arrival","distance_km"
"2555","2546T",3.5
"2545E","2253",15.9
"2571","2544M",4.1
"2545C","2288",5.5
"2546E","2514",4
"2546E","2555",3.1
"2555","2545J",3.5
"2544N","2512",6
"2512","2546E",2.9
"2546X","3171",24.4
"2545A","3015",21.1
"2545A","2548",3.2
"2546S","2554",3.6
"2554","2545G",4.2
"2546S","2521",3.3
"2546B","2566",2.8
"2546B","2514",3.8
"2546V","2521",3
"2546E","2573",1.2
"2546E","2552",1.6
"2546E","2562",2
"2546C","2566",3.1
"2546B","2512",2.6
"2546C","2563",1.8
"2546C","2521",3.2
"2545C","2516",5.1
"2516","2545H",4.7
"2545C","1118",43.8
"2545C","2548",3.4
"2546R","2566",2.9
"2546R","2554",3.5
"2546R","2547",0.5
"2555","2546R",3
"2546R","2564",1.4
"2545E","3171",24
"2546S","2552",1.6
"2546C","2624",8.9
"2546C","2245",11.2
"2546C","3012",20.7
"3012","2545G",20
"2546E","2566",2.8
"2545E","2565",2.4
"2545E","2512",3.5
"2546X","2624",9.1
"2546X","2595",4.5
"2544C","2552",1
"2545E","2548",3.2
"2545E","2555",2.8
"2546B","2562",1.8
"2545E","3511",58.4
"2545C","2566",2.9
"2545C","2555",2.8
"2546S","2584",5
"2546S","2562",2
"2546B","2554",3.8
"2546B","2564",1.5
"2546R","2563",1.7
"2546A","2566",3
"2545E","2597",6.8
"2545C","2291",4.2
"2546S","2624",9.1
"2546S","2616",8.5
"2546V","2573",0.9
"2545C","2512",3.3
"2545C","2572",2.1
"2552","2546R",1.5
"2546E","2563",1.6
"2546T","2722",16.2
"2546S","2555",3.1
"2555","2546C",3.3
"2546C","2552",1.8
"2545A","2565",2.5
"2545A","2566",3.2
"2545A","2288",5.6
"2565","2543B",3.9
"2546R","2562",2.2
"2546T","3012",20.8
"2546T","2571",1.4
"2545E","2742",24.7
"2624","2533H",7.4
"2545G","2514",4.6
"2514","2546V",3.6
"2547","2533H",2.1
"2545G","2685",4.4
"2685","2541X",4.7
"2541X","2719",13.5
"2545A","2291",3.9
"2547","2545A",0.9
"2546E","2245",11.2
"2546T","2518",2.7
"2546T","2616",8.3
"2546V","3012",20.9
"2546V","2555",3.4
"2546E","2554",3.6
"2546A","2555",3.5
"2546A","2514",3.8
"2546A","2245",11
"2546A","2552",1.9
"2546S","2571",1.7
"2545C","2565",2.2
"2545C","9711",202.2
"2511","2545A",4.7
"2545E","2515",4.4
"2542N","2552",2.5
"2546X","2521",2.8
"2546T","2521",2.9
"2545A","2596",5.9
"2545A","2552",1.1
"2533J","2245",10.7
"2546R","2516",4.9
"2546R","2245",11.4
"2546X","2547",0.7
"2546S","2909",24.7
"2909","2533S",23.7
"2546A","2593",5.5
"2511","2546A",3.7
"2545C","2564",1.4
"2546T","2511",3.6
"2545A","2627",10.6
"2546B","2909",24.6
"2545C","2285",3.2
"2545C","2492",9.9
"2546X","2518",2.5
"2546B","2616",8.4
"2533B","2552",2.6
"2546T","2512",2.5
"2546T","2554",3.9
"2546T","2566",2.9
"2545C","3171",24.2
"2546A","2909",24.4
"2546B","3171",24.3
"2546B","2245",11
"2546C","3072",22.7
"3072","2545J",22.1
"3072","2533S",22
"2564","2545G",2.4
"2545C","2627",10.7
"2545V","2547",1.2
"2616","2546X",8.3
"2546X","2511",3.4
"2545A","2555",2.7
"2545A","2515",4.5
"2546A","2571",1.5
"2546B","2573",1
