"departure","arrival","departure_y","departure_x","arrival_y","arrival_x","departure_in_DHZW","arrival_in_DHZW","time_total","time_walk","time_transit_bus","time_transit_train","time_waiting","n_changes","distance_total","distance_walk","distance_bus","distance_train","stop_PC6","stop_PC5","feasible"
"2624","2533B",51.9951639454664,4.35577193846277,52.0486872890598,4.28410221908171,0,1,55.8,20.7,17,7,11.1,2,15.4,1.2,5.9,8.4,"2545NW","2545N",1
"2546E","3171",52.0580559213753,4.27115759168931,51.8549780764941,4.39920958999336,1,0,97.9,34.9,31.9,21,10.2,2,40.5,2.1,17.8,20.7,"2532CP","2532C",1
"3171","2546E",51.8549780764941,4.39920958999336,52.0580559213753,4.27115759168931,0,1,95.8,42.2,22.7,16,14.8,3,32.7,2.3,13.9,16.5,"2532CP","2532C",1
"2546A","2525",52.0577480548941,4.27572687830032,52.0623766403396,4.3033052949289,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2525","2546A",52.0623766403396,4.3033052949289,52.0577480548941,4.27572687830032,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2275","2533S",52.0628271752404,4.35271576940429,52.0553882189754,4.28645029912797,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2546S","3171",52.0578707378872,4.27105525072026,51.8549780764941,4.39920958999336,1,0,97.2,34.2,31.9,21,10.2,2,40.5,2.1,17.8,20.7,"2532CP","2532C",1
"3171","2546S",51.8549780764941,4.39920958999336,52.0578707378872,4.27105525072026,0,1,95,41.4,22.7,16,14.8,3,32.7,2.3,13.9,16.5,"2532CP","2532C",1
"2546V","2548",52.0596909931168,4.27556636437299,52.0294425012506,4.29039874619047,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2548","2546V",52.0294425012506,4.29039874619047,52.0596909931168,4.27556636437299,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2546V","2522",52.0596909931168,4.27556636437299,52.0603806984478,4.32727437307002,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2522","2546V",52.0603806984478,4.32727437307002,52.0596909931168,4.27556636437299,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
