"departure","arrival","departure_y","departure_x","arrival_y","arrival_x","departure_in_DHZW","arrival_in_DHZW","time_total","time_walk","time_transit","time_waiting","n_changes","distance_total","distance_walk","distance_transit","stop_PC6","stop_PC5","feasible"
"2533L","1119",52.0524663644024,4.29612770686802,52.2821571917182,4.76035698526118,1,0,145.8,18.5,113.1,14.2,4,61.7,1.3,60.4,"2531AN","2531A",1
"2718","2543A",52.0390097565011,4.49760847654277,52.0434639733693,4.26411809103701,0,1,79.6,21.6,48.5,9.4,2,24.1,1.4,22.7,"2544GA","2544G",1
"2624","2533B",51.9951639454664,4.35577193846277,52.0486872890598,4.28410221908171,0,1,44.6,18,26.7,0,0,12.2,1.3,10.9,"2545GM","2545G",1
"2546E","3171",52.0580559213753,4.27115759168931,51.8549780764941,4.39920958999336,1,0,110,21.5,77.8,10.7,3,46.9,1.1,45.8,"2545CZ","2545C",1
"3171","2546E",51.8549780764941,4.39920958999336,52.0580559213753,4.27115759168931,0,1,106.6,26.7,71,8.9,2,46.5,1.7,44.8,"2545CG","2545C",1
"2546A","2525",52.0577480548941,4.27572687830032,52.0623766403396,4.3033052949289,1,0,20.6,14.9,5.6,0,0,2.6,1.1,1.5,"2533SW","2533S",1
"2525","2546A",52.0623766403396,4.3033052949289,52.0577480548941,4.27572687830032,0,1,19.8,15,4.8,0,0,2.6,1.1,1.5,"2546AD","2546A",1
"2275","2533S",52.0628271752404,4.35271576940429,52.0553882189754,4.28645029912797,0,1,40.5,20.6,19.9,0,0,8.3,1.5,6.8,"2531AV","2531A",1
"2546S","3171",52.0578707378872,4.27105525072026,51.8549780764941,4.39920958999336,1,0,108.9,20.3,77.8,10.7,3,46.9,1,45.9,"2545CZ","2545C",1
"3171","2546S",51.8549780764941,4.39920958999336,52.0578707378872,4.27105525072026,0,1,105.4,25.6,71,8.9,2,46.4,1.6,44.8,"2545CG","2545C",1
