"departure","arrival","departure_y","departure_x","arrival_y","arrival_x","departure_in_DHZW","arrival_in_DHZW","time_total","time_walk","time_transit","time_waiting","n_changes","distance_total","distance_walk","distance_transit","stop_PC6"
"2544H","1043",52.0457978448674,4.26058713725417,52.38991,4.823093,1,0,193.5,36.9,138.4,18.3,4,75.5,2.6,72.9,"2544WB"
"1043","2544H",52.38991,4.823093,52.0457978448674,4.26058713725417,0,1,195.7,28.4,137.7,29.7,4,71.7,2.1,69.6,"2544GA"
"2284","2544H",52.04115,4.313038,52.0457978448674,4.26058713725417,0,1,25.8,8.2,13.3,4.2,1,5.2,0.6,4.6,"2545JT"
"2547","2544X",52.06093,4.266762,52.0485769204117,4.25873629594925,0,1,20.4,18.1,2.4,0,0,2.6,1.3,1.3,"2545AA"
"2544K","2685",52.0441502180298,4.25828520254179,52.02624,4.223557,1,0,26.8,20.2,6.6,0,0,4.8,1.5,3.3,"-1"
"2685","2544K",52.02624,4.223557,52.0441502180298,4.25828520254179,0,1,27.2,20.4,6.8,0,0,5,1.5,3.5,"2544EB"
"2544R","2584",52.0399609296029,4.25012156605765,52.10258,4.279296,1,0,47.1,13.8,30.9,2.4,1,11.2,0.9,10.3,"2543EB"
"2584","2543A",52.10258,4.279296,52.0434639733693,4.26411809103701,0,1,42.9,10.1,32.8,0,0,11.5,0.7,10.8,"2543SK"
"2584","2544R",52.10258,4.279296,52.0399609296029,4.25012156605765,0,1,42.9,12.9,26.6,3.4,1,10.9,0.9,10,"2544CX"
"2291","2544V",52.01948,4.277017,52.0454790140349,4.25995965447312,0,1,35.6,30.1,5.5,0,0,4,2.3,1.7,"-1"
"2544W","2512",52.0467602067797,4.25796164603099,52.07346,4.304762,1,0,23,5.2,17.8,0,0,6,0.4,5.6,"2544WB"
"2512","2544W",52.07346,4.304762,52.0467602067797,4.25796164603099,0,1,25.3,9.9,15.4,0,0,5.5,0.7,4.8,"2544GA"
"2544W","2353",52.0467602067797,4.25796164603099,52.16652,4.53855,1,0,108,26.1,71.6,10.3,2,30.2,1.8,28.4,"2544WB"
"2353","2544W",52.16652,4.53855,52.0467602067797,4.25796164603099,0,1,100.1,19.3,67.1,13.8,3,29,1.4,27.6,"2544GA"
"2544K","2628",52.0441502180298,4.25828520254179,52.00169,4.375679,1,0,68.2,9.4,47.1,11.6,2,16.4,0.7,15.7,"2541AE"
"2544J","2585",52.0450156297235,4.25830282422894,52.09487,4.296964,1,0,47.9,13.9,29.5,4.4,2,9.7,1,8.7,"2544WB"
"2585","2544J",52.09487,4.296964,52.0450156297235,4.25830282422894,0,1,52.5,24.1,23.8,4.5,1,9.6,1.8,7.8,"2543BG"
"2544K","2284",52.0441502180298,4.25828520254179,52.04115,4.313038,1,0,24.1,7.7,14.2,2.2,1,5.4,0.6,4.8,"2545JT"
"2544C","2585",52.0467546104116,4.25338619540227,52.09487,4.296964,1,0,46.6,12.7,29.5,4.4,2,9.5,0.9,8.6,"2544WB"
"2585","2544C",52.09487,4.296964,52.0467546104116,4.25338619540227,0,1,53.1,33.1,20,0,0,9,2.5,6.5,"-1"
"2544S","2382",52.0416822739541,4.25091669844794,52.12776,4.522523,1,0,109,47.9,56.2,4.9,1,32.9,3.6,29.3,"2544CM"
"2382","2544S",52.12776,4.522523,52.0416822739541,4.25091669844794,0,1,103,44.5,55,3.6,1,33.2,3.2,30,"2544CX"
"2544S","2547",52.0416822739541,4.25091669844794,52.06093,4.266762,1,0,16.9,7.8,9.1,0,0,3.6,0.5,3.1,"2544CM"
"2547","2544S",52.06093,4.266762,52.0416822739541,4.25091669844794,0,1,15.7,6.8,8.8,0,0,4.2,0.5,3.7,"2544CX"
"2597","2543B",52.10758,4.313337,52.0408197781465,4.2614617830182,0,1,57.6,9.6,43.9,4.2,1,15.2,0.7,14.5,"2543SK"
"2665","2544G",52.02257,4.534548,52.0425265562463,4.25954339365026,0,1,87.1,11.9,59.4,15.7,2,31.2,0.9,30.3,"2543BG"
"2544C","3011",52.0467546104116,4.25338619540227,51.91868,4.487522,1,0,76.2,17.6,56.6,2,1,33.7,0.9,32.8,"-1"
"3011","2544C",51.91868,4.487522,52.0467546104116,4.25338619540227,0,1,75.5,16.6,55.6,3.3,1,33.7,0.9,32.8,"2544EB"
"2597","2544V",52.10758,4.313337,52.0454790140349,4.25995965447312,0,1,57.6,10.9,42.6,4.2,1,14.8,0.8,14,"2544GA"
"2544H","2516",52.0457978448674,4.26058713725417,52.06783,4.338401,1,0,40.9,5.7,27.5,7.7,1,8.9,0.4,8.5,"2543AA"
"2516","2544H",52.06783,4.338401,52.0457978448674,4.26058713725417,0,1,44,7.9,26.8,9.2,1,9.4,0.6,8.8,"2546AD"
"2544H","2291",52.0457978448674,4.26058713725417,52.01948,4.277017,1,0,38.4,32.2,6.2,0,0,4.8,2.4,2.4,"-1"
"2291","2544H",52.01948,4.277017,52.0457978448674,4.26058713725417,0,1,35.5,30.1,5.5,0,0,4,2.3,1.7,"-1"
"2544V","2583",52.0454790140349,4.25995965447312,52.09254,4.256884,1,0,50.2,24.1,23.7,2.4,1,9.1,1.8,7.3,"2543AA"
"2583","2544V",52.09254,4.256884,52.0454790140349,4.25995965447312,0,1,48.5,13.9,28.8,5.8,1,11,1,10,"2544GA"
"2544G","2651",52.0425265562463,4.25954339365026,52.00237,4.470929,1,0,87.4,23.3,51.8,12.4,3,26.5,1.3,25.2,"2543BG"
"2544G","2353",52.0425265562463,4.25954339365026,52.16652,4.53855,1,0,109.6,21.5,74.5,13.6,3,37.4,1.5,35.9,"2543BG"
